"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2023 18:00 - 03/01/2023 18:15","CTA|ES","29564.00","29466.00"
"03/01/2023 18:15 - 03/01/2023 18:30","CTA|ES","30152.00","29717.00"
"03/01/2023 18:30 - 03/01/2023 18:45","CTA|ES","30480.00","29899.00"
"03/01/2023 18:45 - 03/01/2023 19:00","CTA|ES","30668.00","30034.00"
"03/01/2023 19:00 - 03/01/2023 19:15","CTA|ES","30876.00","30111.00"
"03/01/2023 19:15 - 03/01/2023 19:30","CTA|ES","31012.00","30257.00"
"03/01/2023 19:30 - 03/01/2023 19:45","CTA|ES","31132.00","30448.00"
"03/01/2023 19:45 - 03/01/2023 20:00","CTA|ES","31376.00","30657.00"
"03/01/2023 20:00 - 03/01/2023 20:15","CTA|ES","31240.00","30996.00"
"03/01/2023 20:15 - 03/01/2023 20:30","CTA|ES","31472.00","31122.00"
"03/01/2023 20:30 - 03/01/2023 20:45","CTA|ES","31568.00","31151.00"
"03/01/2023 20:45 - 03/01/2023 21:00","CTA|ES","31828.00","31063.00"
"03/01/2023 21:00 - 03/01/2023 21:15","CTA|ES","31600.00","31139.00"
"03/01/2023 21:15 - 03/01/2023 21:30","CTA|ES","31532.00","30769.00"
"03/01/2023 21:30 - 03/01/2023 21:45","CTA|ES","30832.00","30244.00"
"03/01/2023 21:45 - 03/01/2023 22:00","CTA|ES","30256.00","29600.00"
"03/01/2023 22:00 - 03/01/2023 22:15","CTA|ES","29360.00","28935.00"
"03/01/2023 22:15 - 03/01/2023 22:30","CTA|ES","28864.00","28183.00"
"03/01/2023 22:30 - 03/01/2023 22:45","CTA|ES","28248.00","27442.00"
"03/01/2023 22:45 - 03/01/2023 23:00","CTA|ES","27512.00","26747.00"
"03/01/2023 23:00 - 03/01/2023 23:15","CTA|ES","26820.00","25938.00"
"03/01/2023 23:15 - 03/01/2023 23:30","CTA|ES","26172.00","25432.00"
"03/01/2023 23:30 - 03/01/2023 23:45","CTA|ES","25568.00","25050.00"
"03/01/2023 23:45 - 04/01/2023 00:00","CTA|ES","24884.00","24754.00"
"04/01/2023 00:00 - 04/01/2023 00:15","CTA|ES","24464.00","24469.00"
"04/01/2023 00:15 - 04/01/2023 00:30","CTA|ES","24232.00","23984.00"
"04/01/2023 00:30 - 04/01/2023 00:45","CTA|ES","23724.00","23513.00"
"04/01/2023 00:45 - 04/01/2023 01:00","CTA|ES","23152.00","23065.00"
"04/01/2023 01:00 - 04/01/2023 01:15","CTA|ES","22760.00","22582.00"
"04/01/2023 01:15 - 04/01/2023 01:30","CTA|ES","22380.00","22202.00"
"04/01/2023 01:30 - 04/01/2023 01:45","CTA|ES","21912.00","21865.00"
"04/01/2023 01:45 - 04/01/2023 02:00","CTA|ES","21724.00","21571.00"
